0.359046	-0.033511	9.588923	1479377932283.00
0.406919	0.000000	9.608071	1479377932316.33
0.368621	-0.023936	9.617646	1479377932349.67
0.397344	-0.014362	9.617646	1479377932383.00
0.416493	-0.023936	9.579348	1479377932416.33
0.368621	-0.004787	9.665519	1479377932449.67
0.387770	-0.043086	9.579348	1479377932483.00
0.368621	-0.004787	9.588923	1479377932516.33
0.359046	-0.004787	9.608071	1479377932549.67
0.387770	-0.033511	9.588923	1479377932583.00
0.387770	-0.033511	9.550624	1479377932616.33
0.406919	0.014362	9.655944	1479377932649.67
0.397344	-0.043086	9.617646	1479377932683.00
0.378195	-0.004787	9.531475	1479377932716.33
0.368621	0.023936	9.627220	1479377932749.67
0.387770	-0.004787	9.560199	1479377932783.00
0.349471	0.000000	9.646370	1479377932816.33
0.359046	0.004787	9.608071	1479377932849.67
0.387770	0.000000	9.560199	1479377932883.00
0.368621	0.014362	9.627220	1479377932916.33
0.416493	-0.014362	9.617646	1479377932949.67
0.359046	-0.014362	9.665519	1479377932983.00
0.368621	-0.004787	9.569773	1479377933016.33
0.397344	0.023936	9.636795	1479377933049.67
0.387770	0.000000	9.588923	1479377933083.00
0.368621	0.014362	9.655944	1479377933116.33
0.406919	0.004787	9.579348	1479377933149.67
0.387770	-0.004787	9.722966	1479377933183.00
0.349471	0.004787	9.646370	1479377933216.33
0.397344	-0.004787	9.579348	1479377933249.67
0.387770	-0.033511	9.617646	1479377933283.00
0.426068	0.014362	9.608071	1479377933316.33
0.387770	-0.014362	9.579348	1479377933311.08
0.349471	0.000000	9.617646	1479377933341.38
0.339897	-0.014362	9.608071	1479377933371.68
0.406919	-0.004787	9.636795	1479377933401.99
0.416493	-0.004787	9.579348	1479377933432.29
0.387770	0.014362	9.694242	1479377933462.59
0.378195	-0.023936	9.541050	1479377933492.89
0.378195	0.000000	9.512326	1479377933523.20
0.416493	0.033511	9.646370	1479377933553.50
0.445217	0.023936	9.588923	1479377933583.80
0.426068	0.004787	9.655944	1479377933614.11
0.349471	-0.043086	9.541050	1479377933644.41
0.330322	0.043086	9.617646	1479377933674.71
0.416493	0.004787	9.665519	1479377933705.02
0.387770	0.014362	9.636795	1479377933735.32
0.378195	-0.052660	9.588923	1479377933765.62
0.339897	-0.052660	9.502751	1479377933795.92
0.378195	-0.014362	9.598496	1479377933826.23
0.426068	-0.023936	9.569773	1479377933856.53
0.378195	-0.023936	9.502751	1479377933886.83
0.349471	-0.043086	9.579348	1479377933917.14
0.320748	-0.004787	9.655944	1479377933947.44
0.387770	-0.033511	9.588923	1479377933977.74
0.454792	-0.023936	9.579348	1479377934008.05
0.445217	0.023936	9.598496	1479377934038.35
0.359046	-0.043086	9.598496	1479377934068.65
0.330322	-0.043086	9.579348	1479377934098.96
0.378195	-0.023936	9.579348	1479377934129.26
0.416493	0.000000	9.598496	1479377934159.56
0.406919	-0.033511	9.569773	1479377934189.86
0.339897	-0.014362	9.579348	1479377934220.17
0.359046	-0.004787	9.627220	1479377934250.47
0.378195	-0.062235	9.579348	1479377934280.77
0.445217	-0.014362	9.655944	1479377934311.08
0.406919	-0.023936	9.617646	1479377934341.38
0.378195	-0.014362	9.608071	1479377934371.71
0.349471	-0.033511	9.608071	1479377934405.05
0.387770	-0.023936	9.636795	1479377934438.38
0.406919	-0.004787	9.560199	1479377934471.71
0.406919	-0.023936	9.608071	1479377934505.05
0.330322	-0.004787	9.608071	1479377934538.38
0.349471	-0.023936	9.598496	1479377934571.71
0.378195	-0.043086	9.598496	1479377934605.05
0.397344	-0.043086	9.627220	1479377934638.38
0.387770	-0.033511	9.598496	1479377934671.71
0.406919	-0.052660	9.617646	1479377934705.05
0.349471	-0.033511	9.617646	1479377934738.38
0.368621	-0.033511	9.569773	1479377934771.71
0.387770	0.000000	9.636795	1479377934805.05
